,股票代號,公司名稱,上市日期,股價,SMA 10,SMA 50,SMA 100,SMA 250,RSI 10,RSI 14,RSI 20,MACD 8/17,MACD 12/25,成交量
0,00001.HK,長和,2015/03/18,51.8,52.71,54.273,59.062,67.13,47.373,46.858,46.041,-0.11,-0.448,9.84百萬
0,00002.HK,中電控股,-,76.9,77.785,79.267,79.1,81.299,41.486,43.222,44.981,-0.388,-0.464,3.63百萬
0,00003.HK,香港中華煤,-,12.32,12.592,12.742,13.216,14.246,42.365,43.903,44.804,-0.052,-0.065,2.11千萬
0,00004.HK,九龍倉集團,-,15.8,15.388,14.333,15.924,17.574,64.078,62.238,59.12,0.423,0.418,5.34百萬
0,00005.HK,匯豐控股,-,37.4,38.765,38.75,45.669,54.499,44.631,44.903,44.016,-0.202,-0.304,2.74千萬
0,00006.HK,電能實業,-,43.8,44.33,48.005,50.864,53.574,38.955,38.42,38.666,-0.624,-1.071,3.67百萬
0,00007.HK,香港金融集,2000/09/08,0.7,0.723,0.751,0.775,0.827,39.329,41.661,43.282,-0.01,-0.01,81.80萬
0,00008.HK,電訊盈科,1994/10/18,4.48,4.464,4.518,4.543,4.537,54.197,52.254,50.782,0.009,-0.006,1.29千萬
0,00009.HK,金奧國際,2001/09/12,0.083,0.083,0.099,0.121,0.146,41.847,41.714,42.095,-0.002,-0.004,0.00
0,00010.HK,恆隆集團,1972/10/12,16.76,16.326,16.095,16.997,18.229,62.022,58.797,55.62,0.221,0.148,1.60百萬
0,00011.HK,恆生銀行,1972/06/20,130.9,132.0,132.174,141.698,160.006,51.298,50.527,49.23,0.777,0.198,2.69百萬
0,00012.HK,恆基地產,1981/07/23,29.8,30.34,30.38,32.49,36.358,49.305,49.012,48.107,0.049,-0.025,5.29百萬
0,00014.HK,希慎興業,1981/09/18,24.55,24.79,24.41,25.904,30.215,54.862,53.579,51.72,0.342,0.227,1.36百萬
0,00015.HK,盈信控股,2000/09/08,0.41,0.404,0.419,0.485,0.624,53.689,50.776,48.233,0.002,-0.003,46.00萬
0,00016.HK,新鴻基地產,1972/09/08,98.75,99.37,100.69,104.508,112.984,51.533,50.592,49.275,0.695,0.157,5.17百萬
0,00017.HK,新世界發展,1972/11/23,9.18,9.005,8.8,9.177,10.162,60.619,58.329,55.734,0.172,0.126,1.66千萬
0,00018.HK,東方報業集,1987/08/18,455.0,0.445,0.456,0.486,0.587,50.004,49.116,48.524,-0.002,-0.004,10.00萬
0,00019.HK,太古股份公,-,44.1,44.89,47.587,56.686,70.109,44.646,43.931,42.748,-0.301,-0.86,5.30百萬
0,00020.HK,會德豐,-,61.95,59.435,55.503,53.966,51.288,67.167,64.828,62.232,1.586,1.564,2.62百萬
0,00021.HK,大中華地產,-,94.0,0.096,0.114,0.127,0.146,38.96,38.835,39.436,-0.004,-0.006,25.00萬
0,00022.HK,茂盛控股,1972/12/14,0.12,0.115,0.144,0.175,0.217,52.175,47.454,43.546,-0.004,-0.008,20.00萬
0,00023.HK,東亞銀行,-,17.6,18.194,16.444,16.813,18.478,54.067,55.356,55.095,0.567,0.607,2.03百萬
0,00024.HK,寶威控股,1983/09/15,71.0,0.078,0.099,0.119,0.154,16.906,20.332,23.323,-0.006,-0.008,0.00
0,00025.HK,其士國際,1984/12/05,9.9,9.754,10.05,10.692,11.172,52.423,51.1,49.085,0.074,0.003,1.40萬
0,00026.HK,中華汽車,-,93.4,94.065,98.268,98.089,90.316,39.657,40.311,41.718,-0.638,-1.06,2.80千
0,00027.HK,銀河娛樂,1991/10/07,53.4,54.795,51.121,50.707,51.678,48.395,50.611,52.048,0.147,0.694,8.19百萬
0,00028.HK,天安,1987/03/18,3.4,3.454,3.21,3.203,3.514,52.572,55.252,56.352,0.035,0.062,33.20萬
0,00029.HK,達力集團,-,12.2,12.154,11.518,11.144,10.476,55.261,55.833,56.231,0.087,0.149,7.03萬
0,00030.HK,萬隆控股集,1991/10/09,255.0,0.254,0.248,0.276,0.284,54.638,53.9,51.849,0.003,0.003,68.80萬
0,00031.HK,航天控股,1981/08/25,0.485,0.458,0.408,0.414,0.438,74.374,71.863,68.292,0.019,0.019,4.13百萬
0,00032.HK,港通控股,1974/07/30,11.0,10.998,11.296,11.605,11.523,43.199,43.925,44.74,-0.106,-0.138,13.12萬
0,00033.HK,雲銅股份,2007/11/19,0.178,0.178,0.148,0.128,0.187,50.945,52.916,54.687,0.003,0.007,54.60萬
0,00034.HK,九龍建業,1995/07/04,8.61,8.962,8.865,8.999,9.424,34.831,38.77,41.968,-0.029,-0.004,12.80萬
0,00035.HK,遠東發展,1972/09/21,2.41,2.469,2.593,2.9,3.282,42.872,42.586,42.08,-0.024,-0.046,43.98萬
0,00036.HK,遠東控股國,1973/02/12,110.0,0.112,0.141,0.176,0.279,40.248,39.263,38.066,-0.008,-0.005,9.00千
0,00037.HK,遠東酒店實,1979/07/03,0.118,0.121,0.146,0.177,0.234,42.407,40.633,38.926,-0.003,-0.006,15.20萬
0,00038.HK,第一拖拉機,1997/06/23,1.91,2.011,1.875,1.696,1.709,35.511,42.208,47.214,-0.049,-0.007,2.58百萬
0,00039.HK,中國北大荒,2001/01/16,0.047,0.047,0.054,0.064,0.101,42.364,40.432,39.198,-0.001,-0.002,3.02百萬
0,00040.HK,金山工業,1984/07/02,630.0,0.633,0.69,0.752,0.777,46.111,45.459,44.974,-0.012,-0.019,0.00
0,00041.HK,鷹君,-,19.14,19.176,20.174,20.973,24.905,45.056,43.847,43.489,-0.105,-0.272,16.02萬
0,00042.HK,東北電氣,1995/07/06,430.0,0.444,0.417,0.455,0.582,46.668,48.766,49.469,0.005,0.001,1.20萬
0,00043.HK,卜蜂國際,1988/04/28,0.69,0.681,0.632,0.627,0.633,62.862,63.662,63.126,0.012,0.015,2.08百萬
0,00045.HK,大酒店,-,7.18,7.286,6.998,7.318,8.29,51.576,52.051,51.653,0.067,0.084,29.90萬
0,00046.HK,科聯系統,1998/05/18,150.0,2.223,2.347,2.647,3.143,33.893,36.088,37.938,-0.061,-0.065,0.00
0,00047.HK,合興集團,1988/11/16,69.0,0.072,0.072,0.084,0.11,42.164,43.306,43.45,-0.001,-0.001,50.80萬
0,00048.HK,中國汽車內,2010/09/29,58.0,0.065,0.075,0.128,0.208,37.555,39.215,39.988,-0.004,-0.005,31.00萬
0,00050.HK,香港小輪（,-,5.92,6.014,6.219,6.441,7.139,37.922,39.561,41.244,-0.075,-0.093,5.00千
0,00051.HK,海港企業,-,8.4,8.097,8.562,10.059,12.494,58.724,53.228,48.325,0.042,-0.064,0.00
0,00052.HK,大快活集團,1991/10/09,16.7,16.996,17.375,17.736,20.763,45.384,45.904,46.344,-0.039,-0.112,23.80萬
0,00053.HK,國浩集團,1983/05/03,115.1,111.05,107.312,116.308,120.408,74.333,68.993,62.644,2.371,1.883,9.00千
0,00055.HK,中星集團控,1992/09/10,0.221,0.207,0.197,0.207,0.267,69.999,65.763,61.426,0.004,0.004,28.60萬
0,00056.HK,聯合地產（,-,890.0,1.887,1.769,1.619,1.634,66.895,68.199,68.104,0.009,0.024,20.00萬
0,00057.HK,震雄集團,1991/10/22,1.83,1.77,1.795,1.968,2.387,59.836,55.46,51.884,0.008,-0.007,7.60萬
0,00058.HK,新威國際,1999/09/03,83.0,0.089,0.092,0.094,0.13,30.03,33.357,37.8,-0.003,-0.003,0.00
0,00059.HK,天譽置業,-,-,-,-,-,-,-,-,-,-,-,4.02百萬
0,00060.HK,香港食品投,1992/12/16,600.0,0.656,0.755,0.773,0.895,37.417,38.843,40.401,-0.035,-0.038,0.00
0,00061.HK,綠領控股,1999/07/06,0.011,0.011,0.017,0.022,0.025,40.105,37.517,35.686,-0.001,-0.001,4.71百萬
0,00062.HK,載通,-,15.34,15.292,16.444,17.54,19.529,44.706,42.392,40.853,-0.169,-0.336,4.04萬
0,00063.HK,中國烯谷集,1986/02/26,144.0,0.152,0.178,0.186,0.211,24.678,28.93,33.536,-0.008,-0.009,34.30萬
0,00064.HK,結好控股,-,-,-,-,-,-,-,-,-,-,-,5.28百萬
0,00065.HK,弘海高新資,2001/08/30,0.15,0.161,0.212,0.23,0.326,19.512,22.247,26.564,-0.011,-0.015,9.97千
0,00066.HK,港鐵公司,2000/10/05,40.05,40.645,41.109,42.012,45.124,48.237,48.17,47.882,0.084,-0.078,5.12百萬
0,00067.HK,旭光高新材,2009/06/16,0.12,51.272,55.71,60.043,61.729,7.784,10.888,14.561,-4.117,-3.157,0.00
0,00068.HK,利興發展,1972/11/09,500.0,1.658,4.231,5.125,6.484,10.819,11.836,13.678,-0.548,-0.801,0.00
0,00069.HK,香格里拉（,1993/06/17,6.71,6.826,6.356,6.624,7.765,49.548,51.011,51.762,-0.006,0.067,2.92百萬
0,00070.HK,金粵控股,-,0.092,0.096,0.1,0.121,0.15,40.143,41.354,41.718,-0.001,-0.002,1.05萬
0,00071.HK,美麗華酒店,-,13.1,13.808,13.924,13.941,14.895,22.368,28.312,34.521,-0.129,-0.096,15.16萬
0,00072.HK,現代傳播,2009/09/09,0.203,0.193,0.218,0.267,0.437,51.631,49.069,46.821,-0.001,-0.005,4.00千
0,00073.HK,亞洲果業,2009/11/26,600.0,0.619,0.645,0.64,0.711,39.281,41.514,43.299,-0.007,-0.008,0.00
0,00075.HK,渝太地產,1984/11/12,2.25,2.187,2.119,2.161,2.244,66.361,65.31,63.224,0.031,0.029,5.12萬
0,00076.HK,誼礫控股,-,-,-,-,-,-,-,-,-,-,-,82.00萬
0,00077.HK,進智公共交,-,-,-,-,-,-,-,-,-,-,-,6.00萬
0,00078.HK,富豪國際,-,2.99,3.047,3.144,3.392,4.008,38.55,40.778,41.97,-0.039,-0.039,24.38萬
0,00079.HK,世紀建業,1993/07/08,170.0,0.188,0.243,0.314,0.524,30.773,33.14,34.754,-0.017,-0.02,0.00
0,00080.HK,中國新經濟,2011/01/06,0.167,0.166,0.213,0.348,0.384,44.019,39.586,38.455,-0.003,-0.012,58.50萬
0,00081.HK,中國海外宏,1984/04/26,4.67,4.582,4.523,4.819,4.437,60.455,57.357,54.264,0.063,0.041,3.83百萬
0,00082.HK,第一視頻,1991/10/25,0.232,0.219,0.154,0.165,0.182,61.399,61.975,61.767,0.024,0.026,6.52百萬
0,00083.HK,信和置業,1981/04/08,9.63,9.767,10.064,10.128,11.249,47.073,46.819,46.845,-0.032,-0.083,5.92百萬
0,00084.HK,寶光實業,-,-,-,-,-,-,-,-,-,-,-,24.99萬
0,00085.HK,中電華大科,1997/07/25,0.72,0.702,0.63,0.647,0.657,60.188,59.144,58.045,0.01,0.017,1.27百萬
0,00086.HK,新鴻基公司,-,-,-,-,-,-,-,-,-,-,-,47.60萬
0,00087.HK,太古股份公,1973/05/01,7.73,7.855,8.056,9.255,11.146,46.188,45.755,44.482,0.004,-0.06,1.53百萬
0,00088.HK,大昌集團,1972/12/11,5.0,5.068,5.138,5.514,6.282,46.481,46.168,45.331,-0.016,-0.029,14.90萬
0,00089.HK,大生地產,1973/02/21,200.0,4.174,4.44,4.509,4.901,44.508,44.184,44.363,-0.045,-0.071,6.90萬
0,00090.HK,普星潔能,2009/07/10,0.68,0.664,0.632,0.644,0.7,57.16,55.589,54.309,0.001,0.004,12.80萬
0,00091.HK,金禧國際控,1981/06/29,290.0,0.294,0.294,0.259,0.221,44.175,46.83,49.367,-0.003,-0.001,3.26百萬
0,00092.HK,冠軍科技集,-,-,-,-,-,-,-,-,-,-,-,42.62萬
0,00093.HK,添利工業,1991/10/23,285.0,0.282,0.303,0.324,0.374,50.527,49.304,48.505,-0.001,-0.005,0.00
0,00094.HK,綠心集團,1988/06/21,0.186,0.192,0.199,0.217,0.344,42.8,43.894,44.698,-0.002,-0.002,11.92萬
